"","Name","UCSC_RefGene_Name","UCSC_RefGene_Group"
"cg18154117","cg18154117","MACF1","Body"
"cg19082496","cg19082496","",""
"cg19496978","cg19496978","ZNF697","5'UTR"
"cg20460771","cg20460771","PTAFR;PTAFR","TSS1500;TSS1500"
"cg21400549","cg21400549","TMEM206","TSS1500"
"cg24448340","cg24448340","",""
"cg24527636","cg24527636","",""
"cg25025181","cg25025181","SMYD3;SMYD3","Body;Body"
"cg26160564","cg26160564","LOC100133612","Body"
"cg26341831","cg26341831","TMEM63A","Body"
"cg26930596","cg26930596","PRKCZ;PRKCZ;PRKCZ","Body;Body;Body"
"cg27582527","cg27582527","",""
"cg00219921","cg00219921","CD8A;CD8A;CD8A;CD8A","3'UTR;3'UTR;3'UTR;Body"
"cg00405190","cg00405190","WIPF1","5'UTR"
"cg00760938","cg00760938","",""
"cg01987702","cg01987702","",""
"cg03406844","cg03406844","TNFAIP6","Body"
"cg03708221","cg03708221","",""
"cg05074138","cg05074138","CTLA4;CTLA4","1stExon;1stExon"
"cg05363955","cg05363955","DOCK10","Body"
"cg07002540","cg07002540","KCMF1","3'UTR"
"cg07065759","cg07065759","ANKRD44","Body"
"cg07930673","cg07930673","",""
"cg09727050","cg09727050","TNFAIP6;TNFAIP6","5'UTR;1stExon"
"cg10099758","cg10099758","",""
"cg10142452","cg10142452","C2orf16;C2orf16","5'UTR;1stExon"
"cg10240150","cg10240150","CD28","TSS1500"
"cg10278149","cg10278149","KLF7","Body"
"cg10628126","cg10628126","GNLY;GNLY","TSS200;TSS200"
"cg13468685","cg13468685","PLEK","Body"
"cg13613174","cg13613174","D2HGDH","Body"
"cg13651908","cg13651908","CD28","TSS1500"
"cg14384416","cg14384416","",""
"cg17594003","cg17594003","ZEB2;ZEB2;ZEB2","TSS1500;TSS1500;TSS1500"
"cg18310515","cg18310515","GNLY;GNLY;GNLY;GNLY","5'UTR;1stExon;1stExon;5'UTR"
"cg18408209","cg18408209","",""
"cg18672716","cg18672716","",""
"cg19828970","cg19828970","NCK2;NCK2","5'UTR;5'UTR"
"cg20043649","cg20043649","",""
"cg20657709","cg20657709","BRE;BRE;BRE;BRE;BRE","Body;Body;Body;Body;Body"
"cg21346154","cg21346154","TGFA;TGFA","Body;Body"
"cg22957691","cg22957691","FEZ2;FEZ2","Body;Body"
"cg22999502","cg22999502","CD8B;CD8B;CD8B","Body;Body;Body"
"cg23363263","cg23363263","WDFY1","Body"
"cg25757820","cg25757820","",""
"cg25939861","cg25939861","CD8A","5'UTR"
"cg26012482","cg26012482","",""
"cg00091349","cg00091349","MED12L;P2RY13","Body;TSS1500"
"cg00290355","cg00290355","MED12L;P2RY14","Body;TSS1500"
"cg00867018","cg00867018","",""
"cg04131610","cg04131610","CCR5;CCR5","TSS200;TSS200"
"cg06489037","cg06489037","",""
"cg09220326","cg09220326","CDCP1;CDCP1","Body;Body"
"cg10599446","cg10599446","",""
"cg12207930","cg12207930","MED12L;P2RY13","Body;TSS1500"
"cg14583999","cg14583999","TMEM111","Body"
"cg15033269","cg15033269","SS18L2","TSS1500"
"cg17660833","cg17660833","HRH1;HRH1;HRH1","5'UTR;TSS1500;5'UTR"
"cg18461635","cg18461635","CCDC12","Body"
"cg18496212","cg18496212","MITF","Body"
"cg20935483","cg20935483","EPHB3","TSS1500"
"cg20959189","cg20959189","ZBTB38","5'UTR"
"cg21634628","cg21634628","BTD","3'UTR"
"cg25226014","cg25226014","CXCR6;FYCO1","TSS200;Body"
"cg25738116","cg25738116","PA2G4P4","TSS1500"
"cg03002688","cg03002688","",""
"cg05270082","cg05270082","MIR578;CPE","TSS1500;Body"
"cg06202778","cg06202778","HOPX;HOPX;HOPX;HOPX;HOPX","3'UTR;3'UTR;3'UTR;3'UTR;3'UTR"
"cg18463607","cg18463607","EXOC1;EXOC1;EXOC1","TSS1500;TSS1500;TSS1500"
"cg23730277","cg23730277","BANK1;BANK1;BANK1","Body;TSS1500;Body"
"cg02021919","cg02021919","CCNH","Body"
"cg04003615","cg04003615","RNF130","Body"
"cg08912922","cg08912922","SHROOM1","1stExon"
"cg09109411","cg09109411","PDE6A","Body"
"cg09453312","cg09453312","ITK","1stExon"
"cg09885622","cg09885622","LPCAT1","Body"
"cg10837404","cg10837404","DCP2","3'UTR"
"cg11814087","cg11814087","ZFR","Body"
"cg11922563","cg11922563","",""
"cg19628988","cg19628988","CXXC5","5'UTR"
"cg20661080","cg20661080","",""
"cg21237481","cg21237481","",""
"cg22933582","cg22933582","",""
"cg24854175","cg24854175","CTNNA1","Body"
"cg26934362","cg26934362","LPCAT1","Body"
"cg00226923","cg00226923","FGD2","TSS1500"
"cg00439981","cg00439981","FAM120B","Body"
"cg02832512","cg02832512","FLJ22536","Body"
"cg04609694","cg04609694","",""
"cg04642300","cg04642300","ARMC2","Body"
"cg06297318","cg06297318","",""
"cg06963205","cg06963205","RIMS1;RIMS1;RIMS1;RIMS1;RIMS1;RIMS1","Body;5'UTR;Body;Body;Body;Body"
"cg08279189","cg08279189","TRIM27","Body"
"cg09310966","cg09310966","TREM1","TSS1500"
"cg09345868","cg09345868","SAMD3;SAMD3","5'UTR;TSS1500"
"cg10699171","cg10699171","",""
"cg11389756","cg11389756","TRIM27","Body"
"cg13079571","cg13079571","TRIM39;TRIM39","Body;Body"
"cg14059339","cg14059339","TRIM27","Body"
"cg14268557","cg14268557","TRIM27","Body"
"cg14564351","cg14564351","AHI1;AHI1;AHI1","Body;Body;Body"
"cg14919455","cg14919455","RREB1;RREB1;RREB1;RREB1","5'UTR;5'UTR;5'UTR;5'UTR"
"cg20487608","cg20487608","JARID2","Body"
"cg25025545","cg25025545","CD83;CD83","3'UTR;3'UTR"
"cg26166854","cg26166854","LOC285780;LY86","Body;Body"
"cg26755141","cg26755141","SIM1","Body"
"cg26814100","cg26814100","MAP7","Body"
"cg00208012","cg00208012","ZP3;SRCRB4D","5'UTR;Body"
"cg01726890","cg01726890","",""
"cg02179455","cg02179455","",""
"cg04776231","cg04776231","PTPN12;PTPN12;PTPN12","5'UTR;5'UTR;Body"
"cg12996622","cg12996622","",""
"cg18664915","cg18664915","C7orf50;C7orf50;C7orf50","Body;Body;Body"
"cg21743182","cg21743182","CDK14","Body"
"cg23326197","cg23326197","CYP3A4","TSS1500"
"cg25711558","cg25711558","CUX1;CUX1;CUX1","Body;Body;Body"
"cg25968394","cg25968394","",""
"cg01081737","cg01081737","SLC45A4","TSS200"
"cg02190353","cg02190353","SLC25A37","Body"
"cg02324835","cg02324835","",""
"cg06889975","cg06889975","",""
"cg07769015","cg07769015","SLC45A4","TSS200"
"cg09322573","cg09322573","KIF13B","Body"
"cg09859659","cg09859659","DENND3","Body"
"cg10147394","cg10147394","BLK","TSS1500"
"cg11531557","cg11531557","",""
"cg11848483","cg11848483","ZC3H3","Body"
"cg15586392","cg15586392","SLC45A4","TSS200"
"cg15891546","cg15891546","DENND3","Body"
"cg16193207","cg16193207","CHMP7","Body"
"cg17477578","cg17477578","",""
"cg19696012","cg19696012","",""
"cg22689323","cg22689323","GML","Body"
"cg23540819","cg23540819","ASAH1;ASAH1;ASAH1","Body;Body;Body"
"cg27008565","cg27008565","NCALD;NCALD;NCALD;NCALD;NCALD;NCALD;NCALD","5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR"
"cg11557901","cg11557901","",""
"cg13606287","cg13606287","KIAA1432;KIAA1432","Body;Body"
"cg13633625","cg13633625","",""
"cg13932501","cg13932501","AUH","Body"
"cg14060402","cg14060402","ZCCHC7","Body"
"cg01040749","cg01040749","INPP5A","Body"
"cg02338345","cg02338345","PDLIM1","Body"
"cg03980424","cg03980424","",""
"cg08908131","cg08908131","KIAA1598;KIAA1598","Body;Body"
"cg09163720","cg09163720","INPP5A","Body"
"cg11230435","cg11230435","MAP3K8","5'UTR"
"cg14301562","cg14301562","SAMD8","3'UTR"
"cg15835339","cg15835339","SFTA1P","Body"
"cg17766305","cg17766305","RNLS;RNLS","Body;Body"
"cg18184053","cg18184053","",""
"cg23723835","cg23723835","ASCC1","Body"
"cg24902461","cg24902461","GRK5","Body"
"cg27470208","cg27470208","",""
"cg27545615","cg27545615","PFKFB3;PFKFB3","Body;Body"
"cg01110616","cg01110616","",""
"cg02661764","cg02661764","",""
"cg02663352","cg02663352","CD44;CD44;CD44;CD44;CD44","Body;Body;Body;Body;Body"
"cg05344747","cg05344747","CD59;CD59;CD59;CD59","5'UTR;5'UTR;5'UTR;5'UTR"
"cg06164961","cg06164961","CD3E","Body"
"cg07268332","cg07268332","AMPD3;AMPD3;AMPD3","TSS200;TSS1500;Body"
"cg07545925","cg07545925","CD3G;CD3D;CD3D","TSS200;TSS1500;TSS1500"
"cg10977115","cg10977115","CRTAM","Body"
"cg11760500","cg11760500","ETS1;ETS1;ETS1","Body;Body;Body"
"cg13750061","cg13750061","CD3G;CD3D;CD3D","TSS1500;TSS1500;TSS1500"
"cg16146033","cg16146033","SLC22A8","Body"
"cg16148346","cg16148346","",""
"cg16436762","cg16436762","PIWIL4","Body"
"cg17232476","cg17232476","SORL1","Body"
"cg18935453","cg18935453","LRP5","Body"
"cg22212560","cg22212560","FRMD8","Body"
"cg22512531","cg22512531","CRTAM","Body"
"cg22907103","cg22907103","CYBASC3;CYBASC3;CYBASC3;CYBASC3","5'UTR;1stExon;5'UTR;Body"
"cg24612198","cg24612198","CD3E","5'UTR"
"cg24841244","cg24841244","CD3D;CD3D;CD3D;CD3D","5'UTR;5'UTR;1stExon;1stExon"
"cg25643644","cg25643644","CD3D;CD3D","Body;Body"
"cg26165081","cg26165081","PSMA1","Body"
"cg27309871","cg27309871","ME3;ME3;ME3","Body;Body;Body"
"cg00366435","cg00366435","",""
"cg01874152","cg01874152","KIAA0748;KIAA0748","5'UTR;TSS1500"
"cg01940139","cg01940139","KLRD1;KLRD1;KLRD1;KLRD1;KLRD1","1stExon;5'UTR;5'UTR;5'UTR;1stExon"
"cg05171937","cg05171937","STK38L","TSS1500"
"cg05224770","cg05224770","IFNG","TSS1500"
"cg06915826","cg06915826","DGKA;DGKA;DGKA;DGKA","5'UTR;5'UTR;5'UTR;5'UTR"
"cg10782923","cg10782923","DGKA;DGKA;DGKA;DGKA","5'UTR;5'UTR;5'UTR;5'UTR"
"cg11118440","cg11118440","",""
"cg12976793","cg12976793","",""
"cg14506192","cg14506192","DIABLO;DIABLO;DIABLO;DIABLO;DIABLO;DIABLO","Body;5'UTR;5'UTR;Body;1stExon;1stExon"
"cg14555736","cg14555736","TMEM132C","Body"
"cg15241779","cg15241779","KLRD1;KLRD1;KLRD1","TSS1500;5'UTR;TSS1500"
"cg17541002","cg17541002","CAMKK2;CAMKK2;CAMKK2;CAMKK2;CAMKK2;CAMKK2;CAMKK2","5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR"
"cg20894640","cg20894640","",""
"cg21330949","cg21330949","",""
"cg21474838","cg21474838","KLRD1;KLRD1;KLRD1;KLRD1;KLRD1","1stExon;5'UTR;5'UTR;5'UTR;1stExon"
"cg21685770","cg21685770","OLR1","TSS200"
"cg22742001","cg22742001","GIT2;GIT2;GIT2;GIT2;GIT2;GIT2","TSS1500;TSS1500;TSS1500;TSS1500;TSS1500;TSS1500"
"cg25416125","cg25416125","DGKA;DGKA;DGKA;DGKA","5'UTR;5'UTR;5'UTR;5'UTR"
"cg26227465","cg26227465","IFNG","TSS200"
"cg26795340","cg26795340","GPD1;C12orf62","3'UTR;TSS1500"
"cg09088496","cg09088496","SPATA13;SPATA13","Body;Body"
"cg09145126","cg09145126","TRIM13;TRIM13;TRIM13;TRIM13;DLEU2","TSS1500;TSS1500;TSS1500;TSS1500;Body"
"cg09469986","cg09469986","",""
"cg09909069","cg09909069","",""
"cg14114282","cg14114282","MCF2L;MCF2L","Body;Body"
"cg17527195","cg17527195","",""
"cg18748064","cg18748064","ATP11A;ATP11A","Body;Body"
"cg23318020","cg23318020","",""
"cg01655008","cg01655008","C14orf109;C14orf109","Body;Body"
"cg02150910","cg02150910","GZMH","TSS1500"
"cg04712122","cg04712122","BCL11B;BCL11B","Body;Body"
"cg05205074","cg05205074","",""
"cg09232358","cg09232358","",""
"cg15935770","cg15935770","KIAA0247","Body"
"cg16212145","cg16212145","GZMB","TSS1500"
"cg21814550","cg21814550","",""
"cg01869288","cg01869288","",""
"cg02384859","cg02384859","ARID3B","Body"
"cg07307830","cg07307830","FSIP1","Body"
"cg10933959","cg10933959","FLJ42289;FLJ42289","TSS1500;Body"
"cg16125725","cg16125725","",""
"cg20602300","cg20602300","C15orf57;C15orf57;C15orf57","3'UTR;3'UTR;3'UTR"
"cg20666585","cg20666585","",""
"cg23671196","cg23671196","ATP8B4","5'UTR"
"cg23990557","cg23990557","IGF1R","Body"
"cg25003924","cg25003924","ARPP19","TSS1500"
"cg02582213","cg02582213","ANKRD11","5'UTR"
"cg07625619","cg07625619","TMCO7","Body"
"cg07661835","cg07661835","ACSF3;ACSF3;ACSF3","Body;5'UTR;5'UTR"
"cg09662852","cg09662852","",""
"cg22381196","cg22381196","DHODH","TSS1500"
"cg00277591","cg00277591","ANKFY1","Body"
"cg02352716","cg02352716","",""
"cg02380585","cg02380585","SLFN13","TSS1500"
"cg03533256","cg03533256","CD300E","TSS1500"
"cg05655915","cg05655915","NARF;NARF;NARF;NARF","TSS1500;TSS1500;TSS1500;TSS1500"
"cg11414202","cg11414202","NLK","Body"
"cg11690666","cg11690666","NARF;NARF;NARF;NARF","TSS1500;TSS1500;TSS1500;TSS1500"
"cg12353788","cg12353788","CHD3;CHD3;CHD3","Body;TSS200;TSS200"
"cg13093111","cg13093111","ARSG","Body"
"cg13396713","cg13396713","VPS53;VPS53","Body;Body"
"cg13468144","cg13468144","ANKFY1","Body"
"cg13618516","cg13618516","AATK","Body"
"cg15046489","cg15046489","",""
"cg22498365","cg22498365","TBCD","Body"
"cg23334433","cg23334433","AATK","Body"
"cg24456340","cg24456340","ABI3;ABI3;GNGT2","TSS1500;TSS1500;5'UTR"
"cg26658039","cg26658039","B3GNTL1","Body"
"cg27059140","cg27059140","",""
"cg27200257","cg27200257","P4HB","Body"
"cg02902412","cg02902412","ATP9B","Body"
"cg05486872","cg05486872","MYOM1;MYOM1","3'UTR;3'UTR"
"cg12019801","cg12019801","ZNF516","Body"
"cg15532942","cg15532942","NFATC1;NFATC1;NFATC1;NFATC1;NFATC1","Body;Body;Body;Body;Body"
"cg21683390","cg21683390","C18orf1;C18orf1","5'UTR;5'UTR"
"cg24601355","cg24601355","",""
"cg11354682","cg11354682","C19orf38","Body"
"cg18497291","cg18497291","GRIN2D","Body"
"cg21596498","cg21596498","POU2F2","Body"
"cg24706505","cg24706505","LYL1","Body"
"cg04780380","cg04780380","GNASAS","Body"
"cg05188448","cg05188448","LOC647979","TSS1500"
"cg11597277","cg11597277","SUMO1P1","TSS200"
"cg19358608","cg19358608","",""
"cg20910807","cg20910807","EDN3;EDN3;EDN3;EDN3","TSS200;TSS200;TSS200;TSS200"
"cg21341487","cg21341487","GTPBP5","5'UTR"
"cg09354050","cg09354050","UBASH3A;UBASH3A","Body;Body"
"cg27111890","cg27111890","UBASH3A;UBASH3A","TSS1500;TSS1500"
"cg05653887","cg05653887","CELSR1","Body"
"cg06766034","cg06766034","CERK","3'UTR"
"cg07713946","cg07713946","LIMK2;LIMK2","3'UTR;3'UTR"
"cg16093065","cg16093065","TNRC6B;TNRC6B;TNRC6B","3'UTR;3'UTR;3'UTR"
